"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
10028792,1574.02,"Kepler-87 c",191.239133,286.22034,0.705916666666667,0.2472,0.4288,1.699,0.147,-0.123,0.969,0.084,-0.063
12020218,1507.01,"Kepler-870 b",21.3588236,135.07022,0.242625,0.3032,0.3147,0.992,0.316,-0.105,1.063,0.139,-0.153
7690844,1508.01,"Kepler-871 b",22.0459163,136.47548,0.2175,0.2844,0.3661,0.951,0.236,-0.084,1.065,0.102,-0.153
7901948,1511.01,"Kepler-872 b",2.578852119,133.2237,0.098254166666667,0.2676,0.3928,0.853,0.246,-0.077,0.949,0.103,-0.113
12418724,1516.01,"Kepler-873 b",20.55331441,139.5613,0.2214,0.3029,0.3239,1.112,0.353,-0.118,1.157,0.157,-0.157
7456001,1517.01,"Kepler-874 b",40.0686713,151.80901,0.2453125,0.2965,0.3342,0.992,0.274,-0.147,0.924,0.12,-0.098
7549209,1518.01,"Kepler-875 b",27.5071114,151.84775,0.246125,0.2676,0.3928,0.88,0.278,-0.087,0.977,0.116,-0.116
7663405,1519.01,"Kepler-876 b",5.1443645,133.83044,0.112625,0.186,0.5256,0.904,0.064,-0.088,0.83,0.054,-0.029
9765975,1520.01,"Kepler-877 b",18.45848388,138.1635,0.140429166666667,0.1914,0.5167,0.948,0.081,-0.099,0.859,0.06,-0.033
9818462,1521.01,"Kepler-878 b",25.9421582,156.18894,0.168541666666667,0.186,0.5256,0.796,0.066,-0.028,0.891,0.027,-0.064
12266636,1522.01,"Kepler-879 b",33.3856176,148.92764,0.2098375,0.2622,0.4035,1.022,0.288,-0.155,0.974,0.127,-0.104
5446285,142.01,"Kepler-88 b",10.916108342,133.009227,0.152066666666667,0.2277,0.4653,0.932,0.157,-0.036,1.051,0.053,-0.079
7869917,1525.01,"Kepler-880 b",7.71467686,133.55635,0.191129166666667,0.3299,0.2544,2.599,0.523,-0.85,1.714,0.17,-0.316
9824805,1526.01,"Kepler-881 b",4.4444826,133.46308,0.153583333333333,0.3029,0.3239,1.079,0.318,-0.127,1.135,0.145,-0.159
7691260,1528.01,"Kepler-882 b",3.989544192,134.0989,0.066291666666667,0.2337,0.4535,0.688,0.099,-0.046,0.765,0.072,-0.079
11954842,1530.01,"Kepler-883 b",12.98494603,139.78207,0.1437375,0.2965,0.3342,1.025,0.149,-0.122,0.93,0.059,-0.065
11764462,1531.01,"Kepler-884 b",5.69919592,136.58738,0.099608333333333,0.2602,0.4096,0.932,0.127,-0.054,0.986,0.049,-0.07
11656246,1532.01,"Kepler-885 b",18.11473813,147.4904,0.219608333333333,0.2891,0.3589,1.36,0.244,-0.199,1.194,0.088,-0.107
7808587,1533.01,"Kepler-886 b",6.24145791,134.88892,0.129158333333333,0.2638,0.4046,1.259,0.207,-0.207,1.026,0.086,-0.062
4741126,1534.01,"Kepler-887 b",20.4222447,146.9837,0.259166666666667,0.2844,0.3661,1.299,0.225,-0.184,1.157,0.093,-0.102
4741126,1534.02,"Kepler-887 c",7.63846084,138.24557,0.164875,0.2844,0.3661,1.299,0.225,-0.184,1.157,0.093,-0.102
11669125,1535.01,"Kepler-888 b",70.6981724,188.56795,0.276333333333333,0.2711,0.3858,0.866,0.118,-0.05,0.94,0.045,-0.077
12159249,1536.01,"Kepler-889 b",3.74443645,133.55997,0.121629166666667,0.2826,0.3729,1.293,0.215,-0.196,1.132,0.081,-0.09
6462863,94.04,"Kepler-89 b",3.743166733,131.61967,0.1537,0.305,0.3201,1.331,0.243,-0.199,1.106,0.116,-0.074
6462863,94.02,"Kepler-89 c",10.423677439,138.009041,0.2177375,0.305,0.3201,1.331,0.243,-0.199,1.106,0.116,-0.074
6462863,94.01,"Kepler-89 d",22.342964828,132.741641,0.27766875,0.305,0.3201,1.331,0.243,-0.199,1.106,0.116,-0.074
6462863,94.03,"Kepler-89 e",54.31996151,161.239869,0.357741666666667,0.305,0.3201,1.331,0.243,-0.199,1.106,0.116,-0.074
7951018,1553.01,"Kepler-890 b",52.75878505,156.306351,0.277154166666667,0.3022,0.3344,1.137,0.378,-0.126,1.221,0.152,-0.169
5184584,1564.01,"Kepler-891 b",53.44944498,149.20185,0.2212125,0.2826,0.3729,1,0.257,-0.086,1.114,0.1,-0.137
8009350,1569.01,"Kepler-892 b",13.75207851,143.03241,0.120129166666667,0.1142,0.6188,0.699,0.068,-0.051,0.738,0.066,-0.066
8082001,1570.01,"Kepler-893 b",6.33855946,354.85104,0.1442375,0.2844,0.3661,1.03,0.341,-0.114,1.132,0.151,-0.166
10004519,1572.01,"Kepler-894 b",9.80321143,363.98686,0.185904166666667,0.3032,0.3147,0.992,0.327,-0.102,1.063,0.144,-0.144
12506770,1577.01,"Kepler-895 b",2.806243488,133.7314,0.067795833333333,0.101,0.6443,0.581,0.027,-0.03,0.595,0.028,-0.036
7939330,1581.02,"Kepler-896 b",144.551628,265.9401,0.691625,0.2434,0.4341,0.803,0.188,-0.063,0.877,0.083,-0.092
12602568,1583.01,"Kepler-897 b",8.04727721,137.2073,0.214958333333333,0.2711,0.3858,0.849,0.238,-0.079,0.942,0.11,-0.11
9941066,1584.01,"Kepler-898 b",5.87063416,137.24813,0.107233333333333,0.0853,0.6656,0.612,0.027,-0.03,0.624,0.029,-0.033
5470739,1585.01,"Kepler-899 b",19.17893976,139.74552,0.214333333333333,0.2676,0.3928,0.881,0.26,-0.081,0.979,0.102,-0.125
3323887,377.01,"Kepler-9 b",19.270825843,182.5436,0.172004166666667,0.2602,0.4096,0.956,0.147,-0.053,1.034,0.058,-0.08
3323887,377.02,"Kepler-9 c",38.90787517,175.425847,0.188629166666667,0.2623,0.4089,0.956,0.184,-0.05,1.034,0.059,-0.077
